0mM,0mM,0mM,0mM,0mM,0mM,50mM,50mM,50mM,50mM,50mM,50mM,100mM,100mM,100mM,100mM,100mM,100mM,150mM,150mM,150mM,150mM,150mM,150mM,200mM,200mM,200mM,200mM,200mM,200mM,250mM,250mM,250mM,250mM,250mM,250mM,300mM,300mM,300mM,300mM,300mM,300mM,350mM,350mM,350mM,350mM,350mM,350mM,400mM,400mM,400mM,400mM,400mM,400mM
2.44,-1.22,1.23,0.61,3.05,6.111,-4.88,-0.61,-4.28,-1.83,-1.83,-2.44,7.33,7.33,-3.67,-6.71,0,-3.05,-0.61,-4.28,-1.83,-1.83,-2.44,-3.05,2.44,6.109,0.61,0,-1.83,-0.61,-8.55,-3.06,-1.23,1.83,-1.83,5.49,1.22,-1.22,-12.82,-1.22,-9.77,-16.49,2.44,-1.22,-3.67,-13.44,-10.38,-4.27,0.61,-5.5,-0.61,-9.16,-8.55,-6.72
3.66,0,1.23,0.61,3.66,7.331,-3.05,0.61,-3.06,-1.22,-1.83,-2.44,9.16,10.38,-3.06,-6.1,1.22,-2.44,0.61,-3.06,-1.22,-1.83,-2.44,-1.83,4.27,7.33,0.61,0.61,-0.61,0.61,-8.55,-2.45,-0.62,2.44,0,7.32,1.22,-0.61,-12.82,0,-9.77,-14.05,4.89,0.61,-1.83,-12.83,-9.77,-4.27,1.22,1.22,-0.61,-7.93,-7.33,-6.11
4.88,0,1.84,0.61,4.27,7.941,-2.44,1.83,-1.22,-1.22,-1.22,-1.83,10.39,13.44,-2.45,-4.88,2.44,-1.83,1.83,-1.22,-1.22,-1.22,-1.83,-1.83,5.49,8.551,0.61,1.22,0,1.23,-7.94,-2.45,0,2.44,1.23,8.55,3.05,-0.61,-11.6,1.22,-7.94,-11.6,6.11,0.61,0.61,-12.22,-9.16,-3.66,2.45,1.22,0,-7.32,-5.5,-5.5
6.1,0.61,1.84,1.22,6.1,7.941,-1.83,2.44,0.61,-1.22,-1.22,-1.83,11.61,15.268,-1.23,-4.27,3.66,-1.22,2.44,0.61,-1.22,-1.22,-1.83,-0.61,6.72,9.162,0.61,1.22,0.61,2.45,-7.33,-1.83,0.61,2.44,2.45,10.38,3.05,0.62,-10.99,2.44,-7.94,-7.94,7.94,1.84,1.83,-12.22,-8.55,-3.05,3.06,1.83,0,-6.71,-4.28,-4.89
6.71,1.83,2.45,1.22,6.71,9.771,-0.61,3.05,1.83,0,-1.22,-0.61,12.22,17.1,-0.61,-3.05,4.89,0,3.05,1.83,0,-1.22,-0.61,0,7.94,10.38,1.22,1.84,1.84,3.06,-6.72,-1.83,1.22,2.44,4.28,11.6,3.66,1.23,-10.38,4.28,-6.11,-5.5,10.38,1.84,4.27,-11.61,-7.94,-3.66,4.28,1.83,0.61,-4.88,-1.84,-3.66
8.55,2.45,3.06,1.83,7.93,10.381,0.61,3.67,3.05,0.61,-1.22,-0.61,13.44,19.54,0.61,-2.44,6.11,0.61,3.67,3.05,0.61,-1.22,-0.61,0.61,9.16,10.99,1.22,1.84,1.84,4.28,-6.72,-1.22,1.22,3.05,5.5,12.82,4.88,1.84,-10.38,6.11,-6.11,-2.44,12.21,3.06,6.71,-11.61,-6.72,-2.44,4.89,1.83,1.22,-3.66,-0.61,-3.05
10.38,3.67,3.67,2.44,9.16,10.991,1.83,4.28,5.49,0.61,0,-0.61,14.66,21.37,0.61,-0.61,7.329,1.22,4.28,5.49,0.61,0,-0.61,1.22,9.77,11.6,0.61,2.45,3.06,4.89,-6.1,-0.61,1.83,3.05,7.33,14.65,6.1,2.45,-9.16,7.33,-4.28,-0.61,14.05,3.67,9.16,-10.39,-6.72,-3.05,5.5,3.05,1.22,-1.83,1.22,-1.83
12.21,4.28,4.89,2.44,10.38,12.211,3.05,5.5,6.72,1.22,0.61,0.61,15.27,22.6,1.22,0.62,7.939,3.06,5.5,6.72,1.22,0.61,0.61,1.83,11.6,12.83,0.61,3.06,4.28,6.11,-6.1,0,2.44,3.05,8.55,15.26,7.32,2.45,-8.55,9.16,-3.05,1.83,16.49,4.28,12.82,-10.39,-6.11,-1.83,6.72,3.05,1.83,-0.61,2.44,-0.61
14.65,5.5,4.89,2.44,12.21,12.821,3.67,6.11,8.55,1.22,0.61,0.61,16.49,24.43,2.439,1.23,9.161,3.67,6.11,8.55,1.22,0.61,0.61,3.06,12.21,13.44,0.61,3.06,4.89,6.72,-5.49,0,3.05,3.05,9.77,16.48,8.55,3.67,-8.55,10.38,-2.44,3.66,18.93,5.5,15.87,-9.16,-5.5,-1.83,7.33,3.05,2.44,0.61,4.27,0.61
17.71,6.72,6.11,3.67,12.82,14.041,4.89,6.72,9.77,1.83,1.22,1.22,17.1,25.65,3.049,2.45,10.382,5.5,6.72,9.77,1.83,1.22,1.22,3.06,12.82,14.05,0.61,3.67,5.5,7.94,-5.49,0,3.66,3.05,11.61,18.32,9.77,4.28,-7.33,11.6,-1.22,6.1,20.76,6.72,18.93,-9.16,-4.89,-1.83,8.55,4.27,2.44,2.45,5.49,1.83
20.15,7.94,6.72,4.28,14.65,15.271,6.11,7.94,10.99,1.83,1.22,1.83,17.71,26.87,3.66,3.669,11.6,6.72,7.94,10.99,1.83,1.22,1.83,4.28,13.43,14.05,0.61,4.278,6.11,8.55,-4.88,0.61,4.27,3.66,12.83,18.93,10.38,4.89,-6.72,14.05,0,7.33,23.21,7.33,21.98,-8.55,-3.67,-1.22,9.77,4.27,3.05,3.67,7.32,3.66
23.2,9.16,7.94,4.89,15.87,15.881,6.72,8.55,12.82,3.05,2.44,1.83,18.93,28.09,3.66,5.501,12.21,8.55,8.55,12.82,3.05,2.44,1.83,5.5,14.04,14.66,1.22,4.889,7.33,8.55,-4.27,0.61,4.27,3.05,14.05,20.15,11.6,5.5,-6.72,15.27,1.83,9.16,25.04,8.55,24.42,-7.94,-3.06,-1.22,10.99,4.27,3.67,4.89,7.93,4.27
26.26,10.38,9.16,6.72,17.09,17.101,7.33,8.55,14.04,3.66,2.44,3.05,19.55,28.7,4.271,6.111,12.21,10.38,8.55,14.04,3.66,2.44,3.05,6.72,14.65,15.27,0.61,4.889,7.33,9.77,-3.66,1.83,4.88,4.27,15.27,20.76,12.82,6.11,-6.72,16.49,4.27,10.99,26.87,9.77,26.87,-7.94,-3.06,-0.61,11.61,5.49,3.67,6.11,9.16,5.5
28.7,11.61,10.39,7.33,18.31,18.321,8.55,9.16,14.65,4.27,3.06,3.66,20.16,29.31,5.492,7.33,13.44,12.22,9.16,14.65,4.27,3.06,3.66,7.33,15.87,16.49,1.22,5.499,7.94,9.77,-3.05,2.44,5.49,4.27,16.49,21.37,13.43,6.72,-5.5,17.71,6.11,11.6,28.7,10.99,29.31,-7.33,-1.83,0,12.22,5.49,4.28,7.33,9.77,7.33
31.75,13.44,11,7.94,18.93,18.321,9.16,9.77,15.88,4.88,3.67,4.27,20.77,29.92,5.492,8.55,14.05,13.44,9.77,15.88,4.88,3.67,4.27,7.94,16.49,16.49,1.22,5.499,8.55,9.77,-2.44,3.05,6.1,4.27,17.1,21.98,14.65,6.72,-4.89,18.32,7.94,12.82,29.92,12.83,31.14,-6.11,-1.22,0,13.44,6.1,4.89,8.55,10.99,9.77
34.8,14.66,12.22,9.16,19.54,19.541,9.16,10.38,16.49,5.5,4.28,4.88,20.77,30.53,6.1,10.39,15.27,15.27,10.38,16.49,5.5,4.28,4.88,9.77,17.1,16.49,0.61,5.499,9.77,11.61,-2.44,3.05,6.1,4.89,17.71,21.98,15.26,7.94,-4.27,20.15,10.38,14.04,31.14,14.66,32.97,-6.11,0,0.61,14.66,6.1,5.5,9.16,11.6,10.99
36.64,16.49,13.44,10.38,20.15,20.151,10.99,10.99,18.32,6.72,4.28,5.49,21.38,31.76,6.1,11,15.27,17.1,10.99,18.32,6.72,4.28,5.49,10.38,17.71,17.1,0.61,5.499,9.77,11,-2.44,3.05,6.1,5.5,18.93,23.2,16.48,7.94,-3.66,21.37,12.21,15.26,32.98,15.88,34.8,-4.89,0,0,15.88,6.71,5.5,11,12.82,13.43
38.47,17.71,15.27,11.6,21.37,21.371,11.6,11.6,18.93,7.33,4.89,6.1,21.99,31.76,6.71,11.61,15.88,18.32,11.6,18.93,7.33,4.89,6.1,11.6,17.71,17.71,0.61,6.11,11,12.22,-1.83,3.66,6.71,6.11,19.54,23.2,17.09,7.94,-3.66,21.98,14.65,15.87,34.2,17.71,36.03,-4.28,0.61,0.61,16.49,7.32,6.11,11.61,12.82,14.66
39.69,19.54,17.1,13.44,22.59,21.981,11.6,11.6,19.54,7.94,5.5,6.71,21.99,32.37,6.71,13.44,16.49,19.54,11.6,19.54,7.94,5.5,6.71,12.83,18.32,17.1,1.22,6.721,11,12.22,-1.22,4.27,6.71,6.11,19.54,23.2,18.32,8.55,-3.05,22.6,16.49,16.49,34.81,18.93,37.25,-3.67,1.22,1.23,17.71,7.32,6.72,12.83,14.04,17.1
41.52,20.76,18.93,15.27,23.2,22.591,12.21,12.21,20.15,8.55,6.11,7.94,22.6,32.37,7.32,14.05,17.71,20.15,12.21,20.15,8.55,6.11,7.94,14.05,18.928,17.71,1.22,7.331,12.22,12.83,-1.22,4.88,6.71,6.11,20.77,25.03,18.32,9.16,-1.83,23.21,18.93,17.1,35.42,20.77,38.47,-2.45,1.83,1.23,18.32,7.93,6.72,13.44,14.65,19.54
42.74,22.6,20.77,16.49,24.42,23.201,12.83,12.21,20.76,9.16,6.72,8.55,23.21,32.98,7.93,15.27,17.71,20.76,12.21,20.76,9.16,6.72,8.55,14.66,19.539,17.71,0.61,7.331,12.22,12.83,-0.61,5.49,7.32,6.72,20.77,25.03,19.54,9.16,-2.44,24.43,20.15,17.71,36.03,22.6,39.69,-2.45,3.05,1.84,19.54,7.93,7.33,14.05,15.26,21.98
43.35,23.82,21.99,18.32,25.03,23.201,13.44,12.82,21.37,10.38,6.72,9.16,23.82,33.59,8.55,15.88,18.32,21.99,12.82,21.37,10.38,6.72,9.16,17.1,20.149,17.71,1.22,7.942,12.83,13.44,0,5.49,7.32,6.72,21.99,25.64,20.15,9.16,-1.83,24.43,22.59,18.93,36.64,23.21,40.3,-1.23,4.27,1.84,19.54,8.54,7.33,14.66,15.26,23.81
43.96,25.04,24.43,20.76,26.25,23.811,14.66,13.44,22.59,10.99,7.33,9.77,23.82,33.59,8.55,17.1,18.32,23.21,13.44,22.59,10.99,7.33,9.77,17.71,20.149,18.32,1.22,7.942,12.83,13.44,0,5.49,7.32,6.72,21.99,25.64,20.758,9.78,-1.22,25.65,23.81,19.54,37.25,25.04,40.91,-0.62,4.88,2.45,21.38,9.16,8.55,15.88,16.48,26.26
44.57,26.87,25.65,22.6,26.25,24.431,15.27,13.44,23.2,12.21,7.94,10.99,24.43,33.59,8.55,17.71,19.54,23.21,13.44,23.2,12.21,7.94,10.99,19.54,20.76,18.32,0.61,8.55,14.049,14.05,1.22,6.71,7.32,7.33,23.21,25.64,21.369,10.39,-0.61,26.26,25.65,20.15,38.47,26.26,42.13,-0.62,5.49,2.45,21.99,9.16,8.55,15.88,16.48,27.48
45.19,28.7,27.48,24.43,26.86,25.041,15.27,13.44,23.81,13.43,9.16,12.21,24.43,33.59,9.16,18.32,19.54,23.82,13.44,23.81,13.43,9.16,12.21,20.15,20.149,18.32,1.22,8.55,14.049,14.66,0.61,7.32,7.32,7.94,23.21,26.25,21.369,11,0.61,26.26,26.87,20.76,39.08,27.48,42.74,0.61,5.49,3.06,22.6,9.77,8.55,16.49,17.09,29.92
46.41,29.92,28.71,26.26,27.47,25.041,15.88,14.05,23.81,14.04,9.16,12.82,24.43,34.2,9.16,19.55,20.15,24.428,14.05,23.81,14.04,9.16,12.82,21.37,21.371,18.32,0.61,8.55,14.049,14.66,1.22,7.94,7.93,7.94,23.82,26.87,21.979,11,1.22,26.26,28.09,20.76,39.69,28.7,43.35,1.83,6.71,3.67,23.21,9.16,9.77,17.71,17.09,30.53
46.41,31.15,30.54,27.48,26.86,25.651,16.49,14.05,25.03,14.66,9.77,14.04,24.43,34.2,9.16,19.55,20.15,25.039,14.05,25.03,14.66,9.77,14.04,22.6,21.371,18.93,1.22,9.16,14.659,14.66,1.22,7.32,7.32,7.94,23.82,26.87,21.979,11,1.22,26.87,29.31,21.37,39.69,29.92,43.96,1.83,7.33,3.06,23.818,9.77,9.77,17.71,17.71,32.36
46.41,31.76,32.98,29.31,27.47,26.261,17.1,14.66,25.03,15.27,10.38,14.65,25.65,34.2,9.77,19.55,20.15,25.039,14.66,25.03,15.27,10.38,14.65,23.82,21.981,18.93,0.61,9.16,15.27,14.66,1.83,7.32,7.93,7.94,24.43,26.87,23.201,11,1.22,26.87,29.31,22.59,40.3,30.54,44.58,2.44,7.94,3.06,24.429,9.77,9.77,18.32,18.32,33.59
47.02,33.59,34.2,30.53,27.47,26.871,17.1,14.66,25.03,16.49,11.6,15.87,25.04,34.81,9.77,20.77,20.76,26.26,14.66,25.03,16.49,11.6,15.87,23.82,21.371,18.93,1.22,9.77,15.881,14.66,2.44,7.94,7.93,9.16,24.43,26.87,23.811,11.61,1.22,28.09,29.92,22.59,40.3,31.76,44.58,3.05,8.55,3.67,25.65,9.77,9.77,18.93,18.32,34.81
47.02,34.2,35.42,31.76,27.47,26.871,17.71,14.66,25.03,17.1,10.99,17.1,25.04,34.2,10.38,21.38,21.37,26.26,14.66,25.03,17.1,10.99,17.1,25.65,21.371,18.93,1.22,9.16,15.881,14.66,2.44,8.55,7.93,9.16,24.43,27.48,24.422,11.61,2.44,28.09,30.53,23.2,41.52,32.37,45.19,4.27,9.77,3.67,25.65,10.38,10.99,19.54,19.54,35.42
47.63,35.42,37.25,33.59,28.09,27.481,18.32,15.27,26.26,17.71,12.22,17.71,25.04,34.2,10.38,21.99,21.37,26.871,15.27,26.26,17.71,12.22,17.71,25.65,21.981,18.32,0.61,10.38,15.881,14.66,2.44,8.55,7.32,9.77,25.04,27.48,24.422,11.61,3.05,28.09,31.14,23.81,41.52,33.59,45.8,4.27,9.77,4.28,26.261,10.38,10.99,19.54,19.54,36.03
