0mM,0mM,0mM,0mM,0mM,0mM,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,100mM,100mM,100mM,100mM,100mM,100mM,150mM,150mM,150mM,150mM,150mM,150mM,200mM,200mM,200mM,200mM,200mM,200mM,250mM,250mM,250mM,250mM,250mM,250mM,300mM,300mM,300mM,300mM,300mM,300mM,350mM,350mM,350mM,350mM,350mM,350mM,400mM,400mM,400mM,400mM,400mM,400mM
0,-1.83,0.62,1.22,-3.06,-1.829,-10.38,-6.1,-17.71,1.83,0,-15.27,-9.77,-14.66,-10.99,-14.042,-15.88,-8.55,-20.15,4.28,-1.829,-1.832,-1.23,-1.23,6.1,-7.93,-7.33,-1.83,-1.83,-3.06,-9.77,-18.93,-1.22,-22.59,-7.33,-17.1,0.61,-4.88,-3.05,0.61,0.61,1.22,3.06,-16.49,-6.1,-18.93,-10.38,-7.94,-7.329,-1.84,1.22,-1.23,-1.829,-1.832
-1.22,-3.05,0.62,0.61,-3.06,-1.221,-10.38,-6.1,-18.32,1.83,-0.61,-15.88,-10.39,-15.27,-11.6,-14.042,-16.49,-8.55,-20.76,6.11,-1.829,-2.44,-1.23,-1.23,5.49,-8.54,-6.72,-1.83,-1.83,-2.45,-9.77,-18.93,-1.22,-22.59,-7.33,-17.71,0.61,-4.88,-1.83,0.61,0.61,0.61,3.67,-17.71,-6.72,-20.15,-10.38,-8.55,-7.939,-1.84,0.61,-1.23,-1.829,-2.44
-1.83,-3.05,0.62,0.61,-3.06,-1.221,-10.99,-6.1,-19.54,1.22,0,-16.49,-10.39,-15.27,-11.6,-14.65,-16.49,-8.55,-20.76,7.94,-1.829,-1.832,-1.84,-1.84,5.49,-8.54,-6.72,-1.83,-1.22,-2.45,-10.38,-19.54,-1.83,-23.2,-7.94,-17.71,1.22,-3.66,-1.83,1.22,1.22,0.61,3.67,-17.71,-6.72,-18.93,-10.99,-9.77,-8.55,-1.84,0.61,-1.84,-1.829,-1.832
-2.45,-3.66,-0.61,0,-3.06,-0.61,-12.21,-6.71,-19.54,1.83,0,-16.49,-11,-15.88,-11.6,-14.65,-16.49,-8.55,-20.76,9.16,-1.829,-2.44,-1.23,-1.23,5.49,-8.54,-7.33,-1.83,-1.22,-3.06,-10.38,-20.15,-1.83,-23.2,-7.33,-17.71,2.44,-3.05,-0.61,2.44,2.44,0,3.67,-18.93,-7.94,-18.93,-11.6,-9.77,-9.771,-2.45,0,-1.23,-1.829,-2.44
-1.83,-3.66,-0.61,0,-2.45,-0.61,-12.21,-7.32,-19.54,1.22,-1.22,-16.49,-11,-15.27,-11.6,-15.26,-17.71,-8.55,-20.76,10.39,-1.829,-1.832,-0.61,-0.61,5.49,-9.16,-6.72,-1.22,-1.22,-2.45,-9.16,-20.15,-1.83,-23.2,-7.33,-17.71,2.44,-2.44,0,2.44,2.44,0.61,4.28,-18.93,-7.33,-17.71,-10.99,-9.77,-9.771,-2.45,0.61,-0.61,-1.829,-1.832
-2.45,-4.27,-0.61,-0.61,-3.06,-1.221,-12.21,-6.71,-19.54,1.22,-1.22,-16.49,-11,-15.27,-10.99,-14.65,-16.49,-9.16,-20.76,12.22,-1.221,-1.832,-0.61,-0.61,6.1,-8.54,-6.72,-0.61,-0.61,-1.84,-9.77,-19.54,-2.44,-23.2,-7.33,-17.71,3.67,-1.22,1.83,3.67,3.67,0.61,4.28,-20.15,-7.94,-17.1,-10.99,-10.38,-10.382,-2.45,0.61,-0.61,-1.221,-1.832
-3.06,-4.27,-1.22,-0.61,-2.45,0,-12.82,-7.93,-18.93,1.22,-0.61,-16.49,-11,-15.27,-10.99,-14.65,-16.49,-7.94,-20.76,14.66,-1.221,-1.832,-0.61,-0.61,5.49,-7.93,-6.72,-0.61,0,-1.84,-9.77,-20.76,-1.83,-22.59,-7.33,-17.1,4.28,0.62,3.66,4.28,4.28,0,4.89,-19.54,-7.33,-16.48,-10.99,-9.77,-10.382,-2.45,0,-0.61,-1.221,-1.832
-2.45,-4.27,0,-0.61,-1.84,0,-12.82,-7.93,-18.32,0.61,-1.22,-16.49,-11,-14.66,-10.99,-14.65,-15.88,-8.55,-20.15,15.88,-0.61,-1.221,-0.61,-0.61,5.49,-6.1,-6.72,0,0.61,-1.23,-9.77,-19.54,-1.83,-23.2,-7.33,-17.1,5.5,1.84,5.49,5.5,5.5,0.61,4.89,-18.93,-7.94,-15.87,-10.38,-9.16,-10.382,-2.45,0.61,-0.61,-0.61,-1.221
-2.45,-3.66,-0.61,-1.22,-1.23,0.611,-12.21,-7.93,-17.71,0.61,-1.22,-16.49,-11,-14.66,-10.99,-14.65,-15.27,-7.94,-20.15,17.71,-0.61,-1.221,0,0,5.49,-5.49,-6.11,0.61,0.61,-1.23,-9.16,-19.54,-1.22,-21.98,-7.33,-15.88,6.108,3.67,7.33,6.108,6.108,0,5.5,-19.54,-7.94,-15.26,-10.38,-9.16,-9.771,-3.06,0,0,-0.61,-1.221
-1.83,-4.27,0,-0.61,-0.62,1.222,-12.82,-7.32,-16.49,0.61,-1.22,-16.49,-10.39,-14.05,-10.38,-14.042,-15.27,-7.94,-19.54,18.93,-1.221,-1.221,0.61,0.61,5.49,-3.66,-6.11,1.22,0.61,-0.62,-9.16,-19.54,-0.61,-21.98,-6.72,-15.88,7.329,6.11,9.769,7.329,7.329,0,5.5,-18.32,-8.55,-14.65,-9.16,-7.94,-9.161,-2.45,0,0.61,-1.221,-1.221
-1.83,-3.66,0,0,0,1.832,-12.21,-6.71,-15.88,0,-1.83,-15.88,-10.39,-14.05,-9.77,-13.431,-14.04,-7.94,-18.93,20.77,0,-0.611,0,0,6.1,-2.44,-5.5,1.83,1.83,0,-8.55,-19.54,0,-20.76,-6.11,-15.26,9.161,7.94,11.601,9.161,9.161,0,5.5,-18.32,-7.94,-14.04,-9.16,-7.94,-9.161,-3.06,0,0,0,-0.611
-1.22,-3.66,0,-0.61,0.61,2.443,-11.6,-7.32,-14.66,0.61,-1.83,-15.27,-9.16,-13.44,-9.16,-13.431,-13.43,-7.33,-18.93,22.6,0,0,0.61,0.61,5.49,-1.22,-4.89,2.44,3.66,1.22,-8.55,-19.54,0,-20.76,-5.5,-14.65,10.38,9.77,14.65,10.38,10.38,0,5.5,-17.1,-8.55,-13.43,-9.16,-6.72,-7.939,-3.06,0,0.61,0,0
-0.61,-3.66,0.62,-0.61,0.61,2.443,-11.6,-6.71,-14.05,0,-2.44,-14.66,-8.55,-12.83,-9.16,-13.431,-12.82,-7.33,-17.7,23.82,0.611,0.611,1.828,1.828,6.1,0,-3.67,3.05,4.27,1.22,-8.55,-18.93,0.61,-19.54,-4.89,-13.43,10.99,11.61,16.49,10.99,10.99,0,6.11,-15.88,-8.55,-13.43,-7.94,-6.11,-7.939,-3.06,0,1.828,0.611,0.611
0,-3.05,0.62,0,0.61,3.661,-11.6,-6.1,-12.83,0,-2.44,-14.04,-7.94,-11.61,-8.55,-12.821,-11.6,-6.72,-17.7,25.65,1.222,0.611,1.828,1.828,6.1,1.84,-4.28,4.27,4.27,2.44,-8.55,-18.93,1.22,-18.93,-4.89,-13.43,12.21,14.049,18.93,12.21,12.21,0,6.11,-15.88,-8.55,-13.43,-7.94,-5.49,-6.718,-3.06,0,1.828,1.222,0.611
0,-2.44,0.62,0,1.83,4.271,-10.38,-6.1,-11,0,-2.44,-14.04,-6.72,-11,-7.94,-12.21,-10.38,-6.1,-17.09,26.87,1.832,1.221,2.439,2.439,7.32,3.06,-3.67,4.27,6.11,2.44,-6.72,-18.32,1.83,-17.71,-4.28,-12.21,13.44,16.492,20.76,13.44,13.44,-0.61,6.11,-14.65,-8.55,-14.04,-7.33,-4.88,-5.5,-3.06,-0.61,2.439,1.832,1.221
1.22,-1.22,1.23,0,2.44,4.881,-9.77,-5.49,-9.77,0,-2.44,-13.43,-6.11,-9.77,-7.94,-11.599,-9.77,-5.49,-16.48,28.09,2.443,2.44,3.049,3.049,6.71,4.28,-2.45,6.11,6.11,3.66,-6.72,-18.32,2.45,-17.1,-3.66,-10.99,14.66,17.71,23.2,14.66,14.66,0,6.72,-14.04,-9.16,-14.04,-6.72,-4.27,-3.66,-3.06,0,3.049,2.443,2.44
2.44,-1.22,1.23,0.61,3.05,6.111,-9.16,-4.88,-8.55,0,-2.44,-12.82,-4.89,-9.16,-7.33,-10.989,-8.55,-4.27,-15.26,29.32,2.443,3.05,3.66,3.66,6.71,5.5,-2.45,7.33,7.94,4.88,-6.72,-17.1,2.45,-16.48,-3.66,-10.38,15.27,20.16,25.03,15.27,15.27,0,6.11,-13.43,-8.55,-13.43,-5.5,-3.05,-3.05,-3.67,0,3.66,2.443,3.05
3.66,0,1.23,0.61,3.66,7.331,-9.16,-4.88,-7.33,-0.61,-2.44,-12.21,-3.67,-7.94,-6.11,-10.989,-6.72,-3.66,-15.26,30.54,3.661,3.66,4.271,4.271,7.32,6.11,-1.84,7.33,9.16,5.49,-5.5,-17.1,3.06,-14.65,-3.05,-9.16,16.49,21.38,26.87,16.49,16.49,0,6.72,-12.21,-9.16,-13.43,-5.5,-2.44,-0.61,-3.06,0,4.271,3.661,3.66
4.88,0,1.84,0.61,4.27,7.941,-8.55,-4.27,-5.5,-1.22,-2.44,-12.21,-3.06,-5.5,-5.49,-9.77,-4.88,-3.05,-14.04,31.76,4.271,4.27,5.492,5.492,7.32,7.94,-1.84,8.55,10.38,6.71,-4.89,-16.49,3.67,-13.43,-3.05,-8.55,17.71,23.82,28.09,17.71,17.71,-0.61,6.72,-10.99,-9.16,-14.04,-4.89,-1.83,0,-3.06,-0.61,5.492,4.271,4.27
6.1,0.61,1.84,1.22,6.1,7.941,-7.32,-3.66,-3.67,-0.61,-3.05,-10.991,-0.61,-3.67,-4.27,-9.16,-3.05,-2.44,-13.43,32.98,4.881,5.5,6.1,6.1,7.32,9.16,-1.84,9.77,10.99,7.32,-4.28,-16.49,3.06,-12.82,-1.83,-7.33,18.32,25.04,28.7,18.32,18.32,0,6.72,-9.77,-9.16,-13.43,-4.28,-0.61,1.22,-3.06,0,6.1,4.881,5.5
6.71,1.83,2.45,1.22,6.71,9.771,-6.1,-3.05,-1.84,-1.22,-2.44,-10.381,0.61,-1.23,-3.66,-7.94,-1.22,-1.22,-12.82,32.98,6.111,6.11,6.71,6.71,7.93,10.39,-1.23,11.6,12.82,9.15,-3.06,-15.27,4.28,-12.21,-1.22,-6.72,19.54,26.26,30.53,19.54,19.54,0,7.33,-8.55,-9.16,-12.82,-4.28,0,2.44,-3.06,0,6.71,6.111,6.11
8.55,2.45,3.06,1.83,7.93,10.381,-6.1,-3.05,0,-1.22,-2.44,-9.77,1.83,1.22,-1.83,-6.71,1.83,0,-11.6,34.81,7.331,6.72,7.93,7.93,7.93,11,-0.62,12.82,14.05,10.38,-2.45,-14.66,4.28,-10.38,-0.61,-5.49,20.15,28.09,31.75,20.15,20.15,-0.61,6.72,-8.55,-9.77,-13.43,-3.05,0.61,4.27,-3.06,-0.61,7.93,7.331,6.72
10.38,3.67,3.67,2.44,9.16,10.991,-5.49,-2.44,0.61,-1.22,-2.44,-9.159,4.27,4.88,-0.61,-6.1,4.27,1.83,-10.38,36.03,7.941,7.33,9.16,9.16,8.55,12.22,-1.23,15.27,15.88,12.21,-1.23,-14.04,5.5,-9.77,0,-4.27,20.15,28.7,32.97,20.15,20.15,-0.61,6.72,-6.1,-9.16,-13.43,-3.05,1.22,5.49,-3.67,-0.61,9.16,7.941,7.33
12.21,4.28,4.89,2.44,10.38,12.211,-4.88,-1.83,2.44,-1.83,-3.05,-9.159,5.49,7.32,0.61,-4.27,6.11,4.28,-10.38,36.64,7.941,8.55,9.77,9.77,8.55,12.83,-0.62,16.49,17.71,13.43,-0.61,-12.82,4.89,-8.55,0,-3.05,21.37,29.93,34.19,21.37,21.37,0,6.72,-6.1,-9.77,-12.82,-3.05,1.83,7.33,-3.67,0,9.77,7.941,8.55
14.65,5.5,4.89,2.44,12.21,12.821,-4.88,-1.22,4.27,-1.83,-2.44,-7.938,7.93,11.6,2.44,-3.05,8.55,6.108,-8.54,37.25,9.771,9.77,10.99,10.99,9.16,14.05,-0.62,18.93,19.54,14.65,0.61,-12.21,4.89,-7.32,0.61,-1.83,21.98,31.15,34.19,21.98,21.98,-0.61,7.33,-4.88,-9.16,-13.43,-2.44,3.05,7.94,-3.67,-0.61,10.99,9.771,9.77
17.71,6.72,6.11,3.67,12.82,14.041,-4.27,-1.22,4.88,-1.83,-3.05,-7.938,10.38,15.26,4.28,-1.22,10.38,9.161,-7.93,37.86,10.381,10.99,12.21,12.21,9.16,15.27,-0.62,20.76,21.37,16.48,2.44,-11.6,5.5,-6.1,1.22,-1.22,21.98,31.76,35.42,21.98,21.98,-0.61,6.72,-3.66,-9.16,-13.43,-2.44,3.66,9.77,-3.06,-0.61,12.21,10.381,10.99
20.15,7.94,6.72,4.28,14.65,15.271,-2.44,-0.61,6.71,-1.83,-2.44,-7.33,11.6,18.93,7.33,1.22,12.82,12.21,-6.71,38.47,10.991,11.6,12.82,12.82,9.77,15.88,-0.62,22.59,23.2,18.31,3.66,-9.77,6.11,-4.88,1.22,0.61,22.6,32.98,36.64,22.6,22.6,-0.61,6.72,-3.05,-9.16,-13.43,-1.83,4.28,10.99,-3.67,-0.61,12.82,10.991,11.6
23.2,9.16,7.94,4.89,15.87,15.881,-3.05,-0.61,7.32,-1.83,-2.44,-6.72,14.65,22.59,9.77,3.06,15.27,15.88,-5.49,39.09,12.211,12.82,13.43,13.43,9.77,16.49,-0.62,24.43,25.65,19.54,5.49,-8.55,5.5,-4.27,2.44,0.61,23.21,32.98,37.25,23.21,23.21,-0.61,7.33,-2.44,-9.16,-13.43,-1.22,4.89,12.82,-3.67,-0.61,13.43,12.211,12.82
26.26,10.38,9.16,6.72,17.09,17.101,-1.83,-0.61,8.55,-1.83,-2.44,-6.11,16.48,26.25,12.82,6.72,17.1,20.15,-4.88,39.7,12.821,13.43,14.65,14.65,10.38,17.71,-0.62,26.26,27.48,21.37,7.32,-7.33,6.11,-3.05,2.44,2.44,23.82,34.2,37.86,23.82,23.82,-0.61,7.33,-1.22,-8.55,-12.82,-0.61,6.11,14.04,-3.67,-0.61,14.65,12.821,13.43
28.7,11.61,10.39,7.33,18.31,18.321,-1.83,0,9.77,-1.83,-1.83,-6.11,18.93,29.31,16.49,9.16,19.54,23.21,-3.66,40.31,14.041,14.04,16.48,16.48,10.99,17.71,-0.62,27.48,29.92,23.2,9.16,-6.11,6.11,-1.83,3.05,3.67,23.82,34.2,37.86,23.82,23.82,-1.22,7.33,0,-9.16,-12.82,-0.61,6.718,14.65,-3.67,-1.22,16.48,14.041,14.04
31.75,13.44,11,7.94,18.93,18.321,-1.22,0,10.38,-1.83,-1.83,-5.5,20.15,32.97,19.54,12.83,21.37,26.87,-2.44,40.92,15.271,15.27,16.48,16.48,10.99,19.55,0,29.31,31.14,23.81,11.6,-4.27,6.72,-0.61,3.05,4.28,24.43,35.42,39.08,24.43,24.43,-0.61,7.33,0.61,-8.55,-12.82,-0.61,6.718,16.49,-3.67,-0.61,16.48,15.271,15.27
34.8,14.66,12.22,9.16,19.54,19.541,-0.61,0,10.99,-2.45,-2.44,-5.5,22.59,36.02,21.98,15.27,23.2,29.31,-1.22,40.92,15.881,15.88,17.7,17.7,10.99,19.55,0,31.14,32.36,26.25,14.65,-2.44,6.72,0,3.66,5.5,24.43,35.42,39.69,24.43,24.43,-0.61,6.72,1.22,-9.16,-12.82,0,7.939,17.1,-3.06,-0.61,17.7,15.881,15.88
36.64,16.49,13.44,10.38,20.15,20.151,-0.61,0,11.6,-2.45,-2.44,-4.27,25.03,39.69,25.04,18.93,25.65,32.37,-0.61,41.53,17.101,17.1,19.54,19.54,11.6,20.16,0,31.75,32.98,26.86,17.71,0.61,6.72,0.61,3.66,6.11,25.04,36.03,40.3,25.04,25.04,0,7.33,1.83,-9.16,-12.21,0.61,8.55,18.32,-3.67,0,19.54,17.101,17.1
38.47,17.71,15.27,11.6,21.37,21.371,0,0.61,12.82,-2.45,-1.83,-4.27,26.25,42.74,27.48,21.99,26.87,34.81,0.62,42.14,18.321,17.1,20.15,20.15,12.21,21.38,0,32.97,34.81,28.08,20.76,3.66,7.33,1.83,4.27,7.33,25.04,36.03,39.69,25.04,25.04,0,7.33,2.44,-8.55,-12.21,0.61,9.161,19.54,-3.06,0,20.15,18.321,17.1
39.69,19.54,17.1,13.44,22.59,21.981,0,1.23,12.82,-2.45,-1.83,-4.27,28.09,44.57,29.92,25.04,28.7,37.25,1.23,42.75,18.321,17.71,21.37,21.37,11.6,21.38,0.61,34.2,35.42,29.31,23.81,6.72,6.72,2.45,4.88,7.94,25.65,36.64,40.91,25.65,25.65,0,6.72,3.67,-9.16,-12.21,0.61,9.161,20.76,-3.67,0,21.37,18.321,17.71
41.52,20.76,18.93,15.27,23.2,22.591,-0.61,0.61,13.43,-2.45,-1.83,-3.66,30.53,47.63,31.76,27.48,30.53,39.08,2.45,42.75,19.541,18.93,21.98,21.98,12.21,22.6,0.61,34.81,36.03,29.92,26.86,9.77,7.33,3.06,4.88,9.16,25.65,36.64,40.3,25.65,25.65,0,6.72,4.89,-9.16,-11.6,0.61,10.382,21.37,-3.06,0,21.98,19.541,18.93
42.74,22.6,20.77,16.49,24.42,23.201,0,1.23,14.04,-2.45,-1.83,-3.66,32.36,50.069,32.98,30.54,32.36,40.92,3.67,43.36,20.151,19.54,22.59,22.59,12.21,23.21,0.61,36.64,37.25,31.75,29.92,13.43,7.33,3.67,5.5,9.77,26.26,37.25,40.91,26.26,26.26,0.61,7.33,6.108,-9.16,-11.6,1.22,10.99,22.59,-3.06,0.61,22.59,20.151,19.54
43.35,23.82,21.99,18.32,25.03,23.201,0,0.61,14.04,-2.45,-1.83,-3.05,33.58,52.511,35.42,32.98,33.59,42.75,4.28,43.36,21.371,20.15,23.81,23.81,12.82,23.21,0.61,36.64,37.86,31.14,32.36,16.49,7.33,4.89,5.5,9.77,26.26,37.25,40.91,26.26,26.26,0,7.33,5.5,-10.38,-11.6,1.83,12.21,23.2,-3.67,0,23.81,21.371,20.15
43.96,25.04,24.43,20.76,26.25,23.811,0,1.23,15.26,-2.45,-2.44,-3.05,35.41,54.34,37.25,34.2,35.42,43.97,5.5,43.36,21.981,20.76,24.42,24.42,12.82,24.43,0,37.86,38.47,32.36,34.8,19.54,7.33,5.5,6.11,10.38,26.26,37.25,40.91,26.26,26.26,0,6.72,6.719,-10.99,-11.6,1.22,12.21,23.81,-3.06,0,24.42,21.981,20.76
44.57,26.87,25.65,22.6,26.25,24.431,0,1.23,15.87,-2.45,-2.44,-3.05,36.63,56.18,38.47,36.64,36.64,45.8,6.11,43.36,22.591,21.37,25.64,25.64,13.43,25.04,0.61,38.47,38.47,32.97,37.25,21.98,7.33,5.5,6.11,10.99,26.87,37.86,41.52,26.87,26.87,0,6.72,7.94,-11.6,-10.99,1.83,12.82,25.04,-3.06,0,25.64,22.591,21.37
45.19,28.7,27.48,24.43,26.86,25.041,0,1.23,15.26,-3.06,-1.83,-2.44,37.86,58.01,39.69,38.47,37.86,47.02,7.33,43.97,23.201,21.37,25.64,25.64,13.43,25.65,0.61,38.47,39.69,34.19,39.08,23.82,7.33,6.72,6.72,11.6,26.87,37.86,42.13,26.87,26.87,0.61,6.72,8.551,-12.82,-10.99,1.83,13.44,25.65,-3.06,0.61,25.64,23.201,21.37
46.41,29.92,28.71,26.26,27.47,25.041,0,1.23,16.48,-2.45,-1.83,-2.44,39.688,59.23,40.91,40.31,39.08,48.24,7.94,43.97,23.201,22.59,26.86,26.86,14.04,25.65,0.61,39.08,39.69,34.19,40.91,25.65,7.94,6.72,6.72,12.21,26.87,38.48,42.13,26.87,26.87,0.61,6.72,7.94,-13.43,-10.99,2.44,14.05,26.26,-2.45,0.61,26.86,23.201,22.59
46.41,31.15,30.54,27.48,26.86,25.651,0.61,1.23,17.09,-2.45,-1.83,-2.44,40.299,60.45,42.14,41.53,39.69,49.46,8.55,44.58,23.811,22.59,26.86,26.86,14.04,26.26,0.61,39.69,40.3,35.41,42.13,28.09,7.94,7.33,6.72,12.83,26.87,38.48,42.13,26.87,26.87,0.61,6.72,8.551,-12.82,-10.99,2.44,14.05,26.87,-2.45,0.61,26.86,23.811,22.59
46.41,31.76,32.98,29.31,27.47,26.261,0,1.23,17.09,-3.06,-2.44,-3.05,41.52,61.67,43.968,42.75,40.91,50.69,9.78,44.58,24.431,23.2,27.48,27.48,13.43,26.87,1.22,40.3,41.52,36.02,43.35,29.31,7.94,7.94,7.33,12.83,26.87,38.48,42.13,26.87,26.87,0.61,6.72,9.161,-12.21,-10.99,2.44,15.27,27.48,-2.45,0.61,27.48,24.431,23.2
47.02,33.59,34.2,30.53,27.47,26.871,0,1.84,17.09,-3.06,-2.44,-3.05,43.352,62.89,44.579,45.19,42.14,51.91,10.39,44.58,25.041,23.82,28.09,28.09,14.04,26.87,1.22,40.3,42.14,36.63,45.18,31.14,7.94,7.94,7.33,12.83,26.87,38.48,42.13,26.87,26.87,1.22,7.33,9.772,-12.21,-10.99,3.05,15.88,27.48,-1.84,1.22,28.09,25.041,23.82
47.02,34.2,35.42,31.76,27.47,26.871,-0.61,1.23,17.71,-3.06,-2.44,-2.44,43.96,64.11,45.8,45.8,42.75,51.91,11,45.19,25.041,24.43,29.31,29.31,14.04,27.48,1.22,40.91,42.14,36.63,45.8,31.75,7.94,9.16,7.33,13.44,27.48,39.09,42.74,27.48,27.48,0.61,6.11,10.38,-11.6,-10.99,2.44,15.27,28.09,-1.84,0.61,29.31,25.041,24.43
47.63,35.42,37.25,33.59,28.09,27.481,0,1.23,17.71,-3.06,-2.44,-2.44,45.18,65.33,46.411,47.02,43.97,53.13,11.61,45.19,25.651,24.43,29.92,29.92,14.04,26.87,1.22,41.52,42.14,37.24,47.02,33.59,7.33,8.55,6.72,13.44,28.09,39.09,43.35,28.09,28.09,1.22,6.72,10.99,-10.38,-10.99,3.05,15.88,28.7,-2.45,1.22,29.92,25.651,24.43
47.63,36.64,38.48,34.81,28.09,27.481,0,1.23,18.32,-3.06,-2.44,-2.44,45.79,65.95,47.632,48.24,44.58,53.74,12.83,45.19,26.261,25.04,29.92,29.92,14.65,27.48,1.22,42.13,43.36,37.86,48.24,34.2,7.94,9.16,7.33,13.44,27.48,39.09,43.35,27.48,27.48,1.22,6.11,10.99,-10.38,-10.99,2.44,17.1,28.7,-2.45,1.22,29.92,26.261,25.04
48.24,37.86,39.09,36.03,28.09,28.091,-0.61,1.23,18.32,-3.06,-3.05,-3.05,47.02,66.56,47.632,49.47,44.58,54.96,12.83,45.19,26.871,25.65,30.53,30.53,14.65,27.48,1.83,42.75,43.36,38.47,49.46,35.42,7.33,9.77,7.94,14.05,27.48,39.09,43.35,27.48,27.48,1.22,6.72,11.6,-9.16,-10.99,3.05,17.1,29.31,-1.84,1.22,30.53,26.871,25.65
