0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM
20.761,22.59,52.52,22.59,20.15,49.47,12.21,13.43,43.96,41.53,27.48,33.589,47.63,31.75,12.83,33.59,18.32,27.47,20.761,43.96,25.04,21.37,16.492,36.03,-4.28,3.66,3.67,4.27,23.82,10.99,17.7,34.19,15.27,14.66,6.72,25.64,-13.44,-24.43,31.14,21.38,0,23.2,19.54,9.77,11.6,23.2,10.38,3.67,11.6,6.72,22.6,19.54,18.32,6.72,9.77,20.15,11.6,24.43,20.15,11.6,14.66,9.77,14.042,32.36,18.93,42.13,15.88,31.15,34.2,20.761,19.54,21.98,21.98,17.71,9.77,20.76,9.77,29.92,3.67,10.38,-3.05,15.26,14.04,6.72,13.43,21.98,0.61,7.94,-9.16,1.84,7.32,29.92,27.48,28.7,28.7,9.16,3.05,1.83,9.16,9.16,9.16,12.82,28.09,17.1,-3.66,10.99,3.05,11.6,18.93,6.72,20.15,14.05,21.37,8.55,9.77,20.76,9.77,29.92,3.67,42.74,16.49,25.04,25.03,16.49,16.49,12.83,1.83,4.28,1.83,12.83,21.98,20.761,19.54,21.98,21.98,17.71,21.99,28.71,17.71,17.71,-2.44,17.1,32.98,32.98,32.98,37.859,43.35,43.351,37.859,37.859,37.86,44.57,46.41,37.86,37.86,32.36,32.37,30.53,28.7,30.53,40.91,47.64,43.96,43.97,40.91,35.41,43.35,52.52,59.85,62.89,39.69,69.62,69,59.84,39.69,9.16,11.61,10.99,9.77,12.82,20.15,17.71,16.48,20.15,20.15,29.31,29.92,31.14,29.31,29.31,34.8,26.87,23.82,34.8,34.8,28.7,29.92,29.92,29.92,34.809,43.97,47.63,34.809,34.809,26.87,27.48,25.04,22.59,26.87,27.48,27.48,24.43,24.43,26.25,31.14,23.2,20.76,20.76,31.14,40.31,37.25,36.03,40.31,40.31,38.47,41.52,38.47,38.47,38.47,28.7,29.92,27.48,28.7,28.7,9.16,3.05,1.83,9.16,9.16,11.6,1.22,0,11.6,11.6,43.35,53.13,50.68,48.24,43.35,25.04,25.04,20.76,19.55,25.04,33.59,26.26,25.65,25.65,13.43,23.811,29.31,26.87,34.2,7.33,1.221,30.53,22.6,3.05,2.44,42.75,3.05,-4.88,18.32,5.5,-7.94,-1.83,-3.67,4.28,15.881,2.45,9.77,13.43,1.83,12.83,21.98,20.761,19.54,21.98,21.98,17.71,-3.05,-3.05,-1.83,8.549
21.371,22.59,53.13,21.98,20.76,50.08,12.21,14.04,43.96,41.53,27.48,32.978,48.24,31.75,13.44,33.59,18.93,27.47,21.371,43.96,25.04,20.76,16.492,35.42,-3.67,3.66,3.67,4.27,23.21,10.38,17.7,33.58,15.27,14.66,6.72,25.64,-13.44,-24.43,30.53,21.38,0,23.2,20.15,10.38,11.6,23.2,10.38,3.67,11.6,6.72,22.6,20.15,17.71,5.5,10.38,20.15,10.99,23.82,20.15,10.99,14.66,9.16,14.042,32.36,18.32,42.74,15.27,31.15,34.2,20.151,19.54,21.98,21.98,17.71,9.77,20.76,10.38,29.92,4.28,10.38,-3.66,15.26,14.04,6.72,14.04,21.98,0.61,7.94,-9.16,1.84,7.32,29.92,27.48,28.7,28.7,9.16,3.05,1.83,9.16,9.16,9.77,12.82,28.7,16.49,-4.27,10.99,3.05,11.6,18.93,7.33,20.15,14.66,20.76,7.94,9.77,20.76,10.38,29.92,4.28,42.13,15.88,25.04,25.03,15.88,15.88,14.05,3.06,4.28,1.83,14.05,21.98,20.151,19.54,21.98,21.98,17.71,21.38,28.71,17.71,17.71,-2.44,16.49,32.37,32.37,32.37,38.469,43.35,43.351,38.469,38.469,37.86,44.57,47.02,37.86,37.86,32.97,32.37,30.53,29.32,29.92,40.91,47.02,45.18,43.97,40.91,35.41,43.96,52.52,60.46,62.89,40.3,69.62,69,61.07,40.3,9.77,11.61,11.6,9.77,12.21,20.15,18.32,16.48,20.15,20.15,29.92,29.92,31.75,29.92,29.92,35.42,28.09,24.43,35.42,35.42,29.31,29.31,29.92,29.92,34.809,42.74,47.02,34.809,34.809,26.87,26.87,25.04,22.59,26.87,28.7,27.48,25.65,25.04,26.25,31.14,22.59,20.76,20.15,31.14,40.31,37.86,35.42,40.31,40.31,38.47,42.13,38.47,38.47,38.47,28.7,29.92,27.48,28.7,28.7,9.16,3.05,1.83,9.16,9.16,11.6,1.83,0,11.6,11.6,43.97,52.52,50.68,47.02,43.97,25.65,25.04,21.38,19.55,25.65,33.59,26.87,25.03,26.26,14.04,24.431,29.92,26.87,34.2,7.33,1.221,30.53,23.21,4.28,3.06,43.36,3.05,-3.66,19.54,6.11,-7.94,-2.44,-4.28,4.28,15.881,3.06,9.16,13.43,1.83,14.05,21.98,20.151,19.54,21.98,21.98,17.71,-3.05,-2.44,-1.83,8.549
20.761,22.59,53.13,21.98,21.37,49.47,12.82,14.66,43.96,41.53,28.09,32.37,48.24,32.36,14.05,34.2,18.93,27.47,20.761,43.96,25.04,21.98,16.492,36.03,-3.67,3.05,4.28,3.66,23.82,10.99,18.32,32.36,15.27,14.05,6.72,25.03,-12.83,-25.04,31.14,21.38,-0.61,21.98,20.15,9.77,11.6,21.98,9.77,2.45,11.6,6.1,22.6,20.15,17.71,4.28,9.77,20.76,10.38,22.6,19.54,10.99,15.27,9.16,14.042,32.36,18.32,42.74,15.27,30.54,34.2,20.151,19.54,21.98,21.98,17.1,9.77,20.15,10.38,29.92,4.28,10.38,-4.27,15.26,14.65,5.5,14.04,22.59,0.61,7.94,-9.16,2.45,7.32,30.53,27.48,29.31,29.31,9.16,3.05,1.83,9.16,9.16,9.16,12.21,27.48,15.88,-3.66,11.61,3.05,12.21,18.32,7.33,20.15,14.66,21.37,7.94,9.77,20.15,10.38,29.92,4.28,42.74,15.27,25.04,25.03,15.27,15.27,14.66,3.06,4.89,2.44,14.66,21.98,20.151,19.54,21.98,21.98,17.1,21.38,29.32,17.1,17.1,-3.05,16.49,32.37,32.37,32.37,38.469,43.35,43.962,38.469,38.469,38.47,44.57,47.02,38.47,38.47,32.97,32.37,30.53,29.32,30.53,40.3,47.64,45.18,43.97,40.3,34.8,42.74,52.52,60.46,62.28,40.3,69.62,69.61,61.07,40.3,9.16,11.61,11.6,9.77,12.82,20.15,18.32,15.87,20.15,20.15,29.31,30.53,31.75,29.31,29.31,36.03,28.09,25.65,36.03,36.03,29.31,29.92,29.92,29.92,34.199,42.13,46.41,34.199,34.199,26.26,26.87,24.43,22.59,26.26,28.7,28.09,25.65,25.04,26.25,30.53,23.2,20.76,19.54,30.53,40.31,37.86,36.64,40.31,40.31,37.86,42.13,39.08,37.86,37.86,29.31,30.53,27.48,29.31,29.31,9.16,3.05,1.83,9.16,9.16,11.6,3.05,0,11.6,11.6,43.35,53.13,50.07,47.63,43.35,25.04,26.26,21.38,20.77,25.04,33.59,26.26,25.65,25.65,14.04,23.811,29.31,27.48,34.2,7.33,1.221,29.92,23.21,4.89,3.06,42.75,3.05,-2.44,19.54,6.11,-8.55,-3.05,-5.5,3.66,15.881,3.67,9.77,13.43,2.44,14.66,21.98,20.151,19.54,21.98,21.98,17.1,-3.05,-2.44,-3.05,8.549
21.371,23.2,52.52,21.98,21.37,49.47,13.43,15.27,44.57,41.53,27.48,32.37,48.24,32.36,14.66,34.81,18.93,27.47,21.371,44.57,25.04,21.37,16.492,36.03,-3.06,3.66,4.28,4.27,23.21,10.99,18.32,31.75,15.88,14.66,6.72,25.64,-12.83,-23.82,31.75,21.99,-0.61,21.98,20.15,9.77,12.22,21.98,9.77,2.45,12.22,6.1,23.21,20.15,17.1,3.67,9.77,20.15,10.38,23.82,19.54,11.6,15.27,9.77,14.65,32.36,18.93,42.74,15.88,29.93,34.81,20.761,20.15,22.59,22.59,17.1,9.77,20.76,10.38,29.92,4.89,10.99,-5.49,15.26,14.65,5.5,14.65,22.59,0.61,7.94,-9.16,2.45,7.32,29.92,28.09,29.31,29.31,9.16,3.05,1.83,9.16,9.16,9.77,12.21,28.09,15.88,-3.66,10.99,3.05,12.21,18.32,7.94,21.37,15.88,20.76,8.55,9.77,20.76,10.38,29.92,4.89,42.13,14.66,25.04,24.42,14.66,14.66,15.88,3.67,4.89,3.05,15.88,22.59,20.761,20.15,22.59,22.59,17.1,21.38,28.71,17.1,17.1,-3.05,15.27,31.76,31.76,31.76,38.469,43.35,43.962,38.469,38.469,39.08,45.18,47.63,39.08,39.08,32.97,32.98,31.14,28.7,31.14,40.91,47.02,43.96,44.58,40.91,34.8,43.35,51.91,60.46,62.89,40.3,69.62,69.61,61.07,40.3,9.16,11.61,12.21,9.15,12.21,19.54,18.32,16.48,19.54,19.54,29.31,30.53,31.75,29.31,29.31,36.64,28.7,26.26,36.64,36.64,29.31,29.92,29.92,29.92,33.588,42.13,45.8,33.588,33.588,26.87,27.48,25.04,22.59,26.87,28.7,28.09,25.65,25.65,26.86,31.14,22.59,20.15,20.15,31.14,40.31,37.25,36.64,40.31,40.31,39.08,42.13,39.08,39.08,39.08,29.31,29.92,28.09,29.31,29.31,9.16,3.05,1.83,9.16,9.16,12.21,3.05,1.22,12.21,12.21,43.97,53.13,51.29,47.63,43.97,26.26,26.26,21.99,20.77,26.26,33.59,25.65,25.65,25.65,15.27,24.431,29.92,27.48,34.2,7.33,0.61,29.92,23.21,5.5,3.06,42.75,3.66,-1.83,20.15,6.72,-9.16,-3.66,-5.5,2.44,15.881,2.45,9.16,13.43,3.05,15.88,22.59,20.761,20.15,22.59,22.59,17.1,-3.66,-2.44,-3.05,8.549
21.371,23.2,53.74,21.98,21.37,50.08,13.43,16.49,44.57,41.53,27.48,31.76,47.63,31.75,15.27,34.81,18.93,27.47,21.371,44.57,25.04,21.37,16.492,36.64,-3.67,4.27,4.28,4.27,23.21,10.38,18.93,31.14,15.88,15.27,6.72,25.64,-12.83,-24.43,32.98,21.99,0,21.98,20.15,10.38,12.22,21.98,10.38,1.84,12.22,6.72,23.21,20.15,17.1,2.45,10.38,19.54,10.38,23.21,19.54,10.99,15.27,9.77,15.26,32.36,18.93,42.74,14.66,29.93,35.42,20.761,20.15,22.59,22.59,17.1,10.38,20.76,10.38,29.92,4.89,10.99,-6.1,14.65,14.04,5.5,14.65,22.59,0.61,8.55,-8.55,2.45,7.32,30.53,28.09,29.92,29.92,8.55,3.05,1.83,8.55,8.55,9.77,12.21,28.7,16.49,-3.66,11.61,3.66,11.6,18.32,7.94,20.76,15.88,21.37,8.55,10.38,20.76,10.38,29.92,4.89,42.13,15.27,25.04,25.03,15.27,15.27,15.88,3.67,4.89,3.05,15.88,22.59,20.761,20.15,22.59,22.59,17.1,21.38,28.71,17.1,17.1,-3.67,15.27,31.76,31.76,31.76,39.08,43.96,43.962,39.08,39.08,39.08,45.18,47.63,39.08,39.08,32.97,33.59,30.53,29.32,30.53,40.91,47.64,43.96,43.97,40.91,34.19,43.35,51.91,59.85,62.28,39.69,70.23,69,61.07,39.69,9.77,11.61,12.21,9.77,12.21,20.15,18.93,15.87,20.15,20.15,29.92,30.53,31.75,29.92,29.92,37.86,29.31,26.87,37.86,37.86,29.31,29.92,29.92,29.92,32.98,42.13,45.8,32.98,32.98,26.87,27.48,25.04,21.98,26.87,29.92,28.09,25.65,26.26,26.25,30.53,22.59,20.15,19.54,30.53,40.31,37.86,36.64,40.31,40.31,38.47,42.13,39.08,38.47,38.47,29.92,30.53,28.09,29.92,29.92,8.55,3.05,1.83,8.55,8.55,12.21,3.66,1.83,12.21,12.21,44.58,52.52,50.68,47.63,44.58,26.26,26.26,21.99,20.77,26.26,34.2,26.26,25.03,25.65,15.88,25.041,30.53,28.09,34.2,7.33,0.61,29.92,23.21,6.108,3.06,42.75,3.66,-0.61,20.15,7.33,-9.16,-3.66,-5.5,1.83,15.881,3.06,9.16,14.04,3.05,15.88,22.59,20.761,20.15,22.59,22.59,17.1,-3.66,-2.44,-3.05,8.549
20.761,23.2,53.74,21.98,21.37,50.08,14.04,16.49,45.18,42.14,28.09,31.15,47.63,32.36,15.88,34.81,19.54,27.47,20.761,45.18,25.65,21.98,16.492,36.64,-3.06,4.27,4.89,4.27,23.21,9.77,18.32,31.14,15.88,15.27,6.72,25.64,-12.83,-24.43,32.36,21.38,0,21.37,20.15,10.38,12.22,21.37,9.77,1.84,12.22,6.72,23.82,20.15,17.1,1.84,10.38,20.15,9.77,23.21,19.54,11.6,15.27,9.16,15.26,32.36,19.54,42.74,14.66,29.93,34.81,21.371,20.15,22.59,22.59,17.1,10.38,21.37,10.38,29.309,4.89,10.99,-6.1,14.65,14.04,4.89,14.65,22.59,0.61,7.94,-8.55,1.84,7.32,31.14,27.48,29.92,29.92,9.78,3.66,1.83,9.78,9.78,9.77,12.82,28.7,17.1,-3.66,12.22,3.05,12.21,18.32,7.33,21.37,16.49,21.37,8.55,10.38,21.37,10.38,29.309,4.89,42.13,14.66,25.04,25.65,14.66,14.66,16.49,5.5,4.89,3.66,16.49,22.59,21.371,20.15,22.59,22.59,17.1,20.77,28.71,17.1,17.1,-4.28,14.04,31.76,31.76,31.76,39.08,43.96,43.962,39.08,39.08,39.08,45.8,47.63,39.08,39.08,33.58,33.59,31.14,29.32,30.53,40.91,47.64,44.57,43.36,40.91,34.19,42.74,51.91,60.46,62.89,40.3,70.23,69.61,61.68,40.3,9.77,11.61,12.21,9.77,12.21,20.15,17.71,16.48,20.15,20.15,29.92,30.53,32.36,29.92,29.92,37.86,29.93,26.26,37.86,37.86,29.31,29.92,30.53,30.53,32.98,41.52,45.19,32.98,32.98,27.48,27.48,25.04,21.98,27.48,29.92,28.09,26.87,26.26,26.86,30.53,22.59,19.54,19.54,30.53,40.92,37.86,36.03,40.92,40.92,38.47,42.74,39.69,38.47,38.47,29.92,31.14,27.48,29.92,29.92,9.78,3.66,1.83,9.78,9.78,13.43,4.27,3.05,13.43,13.43,43.97,52.52,50.68,47.02,43.97,26.26,26.87,22.6,21.38,26.26,34.2,26.26,25.03,25.65,15.88,24.431,30.53,28.09,34.2,7.94,0.61,29.92,23.21,6.719,3.06,42.75,4.27,0,20.76,6.72,-10.38,-4.89,-6.11,1.22,15.881,3.67,9.77,14.04,3.66,16.49,22.59,21.371,20.15,22.59,22.59,17.1,-3.66,-2.44,-3.66,9.159
21.981,23.2,53.74,21.98,21.37,50.08,14.65,17.1,45.18,42.14,28.09,31.15,47.02,32.36,15.88,35.42,19.54,27.47,21.981,45.18,25.65,21.98,17.102,37.25,-3.06,4.27,5.5,4.89,23.21,10.99,18.93,30.53,15.88,15.27,6.72,25.64,-12.83,-23.82,32.36,22.6,0,20.76,20.15,10.38,11.6,20.76,9.77,1.84,11.6,6.1,23.82,20.15,17.1,0.62,10.38,20.15,9.16,22.6,18.93,10.99,15.27,9.77,14.65,32.36,19.54,42.74,15.27,29.93,35.42,20.761,20.76,22.59,22.59,16.49,10.99,20.76,10.99,29.92,4.89,10.99,-6.1,14.04,14.65,4.89,14.65,22.59,0.61,8.55,-8.55,2.45,7.32,31.14,28.09,29.92,29.92,9.16,3.05,2.44,9.16,9.16,10.38,12.21,29.31,17.1,-3.66,12.22,3.05,11.6,17.71,7.94,21.98,17.1,21.37,8.55,10.99,20.76,10.99,29.92,4.89,42.13,14.66,24.43,25.65,14.66,14.66,17.71,5.5,5.5,3.66,17.71,22.59,20.761,20.76,22.59,22.59,16.49,20.15,28.09,16.49,16.49,-4.28,14.04,31.15,31.15,31.15,39.691,43.96,44.57,39.691,39.691,39.69,45.8,48.24,39.69,39.69,33.58,32.98,31.14,29.32,31.14,40.91,47.64,43.96,44.58,40.91,34.19,42.74,51.3,60.46,62.89,40.3,70.23,69.61,61.68,40.3,9.77,12.22,12.21,9.77,11.6,20.15,18.32,16.48,20.15,20.15,29.92,31.14,31.75,29.92,29.92,39.08,30.54,27.48,39.08,39.08,30.53,30.53,30.53,30.53,32.37,41.52,45.19,32.37,32.37,26.87,26.87,25.65,22.59,26.87,29.92,28.09,26.87,26.26,26.86,30.53,21.98,20.15,19.54,30.53,40.31,37.86,36.64,40.31,40.31,39.08,43.97,39.69,39.08,39.08,29.92,31.14,28.09,29.92,29.92,9.16,3.05,2.44,9.16,9.16,13.43,5.49,3.66,13.43,13.43,43.97,53.13,50.07,48.24,43.97,26.26,26.87,22.6,21.38,26.26,34.81,26.87,25.03,25.65,16.49,24.431,30.53,28.09,34.2,7.33,0.61,29.92,23.21,7.329,3.67,42.75,4.88,0.61,20.76,6.72,-10.38,-4.89,-6.72,0,16.491,3.06,9.77,14.04,3.66,17.71,22.59,20.761,20.76,22.59,22.59,16.49,-4.27,-1.83,-3.66,9.159
21.981,23.2,53.74,21.98,22.6,49.47,14.65,18.32,45.18,41.53,28.09,31.15,47.02,32.36,16.49,35.42,19.54,28.09,21.981,45.18,26.26,21.98,17.102,36.64,-3.67,4.88,5.5,4.89,23.82,10.38,19.54,29.92,15.88,15.27,6.72,25.64,-12.83,-24.43,33.59,21.99,0,20.76,20.15,10.99,10.99,20.76,9.77,1.23,10.99,6.1,23.82,20.15,16.49,-0.61,10.99,19.54,9.77,22.6,18.93,11.6,15.27,9.77,15.26,32.36,19.54,43.35,15.27,29.93,36.03,21.371,20.76,23.2,23.2,17.1,10.99,21.37,10.99,29.309,5.5,11.6,-7.32,14.65,14.65,4.89,14.65,22.59,0,8.55,-7.94,2.45,7.32,31.14,28.09,30.53,30.53,9.78,4.27,1.83,9.78,9.78,9.77,12.21,29.31,17.1,-3.66,12.83,3.66,12.21,17.71,7.94,21.98,17.1,21.37,8.55,10.99,21.37,10.99,29.309,5.5,41.52,14.66,24.43,25.65,14.66,14.66,18.32,6.11,5.5,3.66,18.32,23.2,21.371,20.76,23.2,23.2,17.1,20.15,28.09,17.1,17.1,-4.89,14.04,31.15,31.15,31.15,39.691,44.57,44.57,39.691,39.691,39.69,45.8,48.85,39.69,39.69,34.19,33.59,31.14,29.32,31.75,40.91,48.25,44.57,43.97,40.91,33.58,42.13,51.3,59.85,62.28,40.3,69.62,69.61,61.07,40.3,9.77,11.61,11.6,9.77,12.21,19.54,18.32,16.48,19.54,19.54,29.92,31.14,32.98,29.92,29.92,39.69,31.15,27.48,39.69,39.69,29.92,31.14,31.14,31.14,31.76,40.302,45.19,31.76,31.76,27.48,27.48,25.04,23.2,27.48,29.92,29.31,27.48,26.26,27.48,30.53,21.98,19.54,18.93,30.53,40.31,37.86,37.25,40.31,40.31,39.08,43.97,39.69,39.08,39.08,30.53,31.14,28.09,30.53,30.53,9.78,4.27,1.83,9.78,9.78,14.04,5.49,4.27,14.04,14.04,44.58,53.13,50.68,47.63,44.58,27.48,27.48,22.6,21.38,27.48,34.81,26.87,25.03,26.26,17.1,25.041,29.92,28.7,34.81,7.33,0.61,29.31,23.82,7.329,4.28,42.14,4.88,1.83,21.37,7.94,-10.38,-5.5,-6.72,0.61,16.491,3.67,9.16,14.04,3.66,18.32,23.2,21.371,20.76,23.2,23.2,17.1,-4.27,-1.83,-3.66,9.159
21.981,23.2,53.74,21.37,22.6,50.69,15.27,18.32,45.18,42.14,27.48,31.15,47.02,32.36,16.49,35.42,20.15,27.47,21.981,45.18,26.26,22.6,17.712,37.25,-3.67,4.88,5.5,4.89,23.82,10.38,19.54,29.31,16.49,15.27,6.72,25.64,-12.83,-24.43,33.59,21.99,0.61,20.76,20.15,11.6,11.6,20.76,9.77,1.23,11.6,6.72,23.82,20.15,16.49,0,11.6,19.54,8.55,22.6,18.93,11.6,15.27,9.77,14.65,32.36,18.93,42.74,14.66,30.54,36.03,21.371,20.76,23.2,23.2,16.49,10.99,21.98,10.99,29.92,6.11,11.6,-7.93,14.65,14.65,4.28,15.26,22.59,0,7.94,-7.94,2.45,7.32,32.36,28.7,30.53,30.53,9.78,4.27,2.44,9.78,9.78,9.77,11.6,28.7,17.1,-4.27,12.22,3.05,12.21,17.1,7.94,21.98,17.1,21.37,8.55,10.99,21.98,10.99,29.92,6.11,41.52,14.66,25.04,25.65,14.66,14.66,18.93,6.72,6.72,4.27,18.93,23.2,21.371,20.76,23.2,23.2,16.49,20.15,27.48,16.49,16.49,-4.89,13.43,31.15,31.15,31.15,39.691,43.96,43.962,39.691,39.691,39.69,46.41,48.85,39.69,39.69,34.19,33.59,31.14,29.32,31.14,40.91,47.64,44.57,43.97,40.91,33.58,41.52,51.3,59.85,62.28,40.91,70.23,69.61,61.68,40.91,10.38,11.61,12.21,10.38,12.21,20.15,18.32,16.48,20.15,20.15,29.92,31.75,32.98,29.92,29.92,40.3,31.76,28.09,40.3,40.3,29.92,30.53,31.14,31.14,31.76,40.91,45.19,31.76,31.76,27.48,26.87,25.04,22.59,27.48,30.54,29.31,26.87,26.87,27.48,30.53,21.98,19.54,19.54,30.53,40.31,37.86,37.25,40.31,40.31,39.08,44.58,39.69,39.08,39.08,30.53,32.36,28.7,30.53,30.53,9.78,4.27,2.44,9.78,9.78,14.04,6.1,4.89,14.04,14.04,43.97,53.13,50.68,47.63,43.97,27.48,28.09,23.21,21.38,27.48,34.81,26.26,25.03,26.26,17.1,25.041,29.92,28.7,34.81,6.72,0,29.92,23.82,8.551,4.28,42.14,5.5,2.44,21.98,7.94,-10.99,-5.5,-6.72,0.61,17.101,3.06,9.77,14.04,4.27,18.93,23.2,21.371,20.76,23.2,23.2,16.49,-4.27,-1.83,-3.66,8.549
21.981,23.81,53.74,21.37,22.6,50.69,15.88,18.32,45.79,42.14,28.09,30.54,47.02,32.36,17.1,35.42,18.93,28.09,21.981,45.79,26.87,22.6,17.712,37.25,-3.67,4.88,5.5,5.5,23.21,10.38,19.54,28.7,16.49,15.88,6.72,25.64,-12.22,-24.43,34.2,22.6,0.61,20.76,20.76,10.99,10.99,20.76,10.38,1.23,10.99,6.1,23.82,20.76,16.49,-0.61,10.99,20.15,9.16,21.99,18.32,11.6,15.27,9.16,15.26,32.36,19.54,43.35,14.66,29.93,36.03,20.761,20.76,23.81,23.81,15.88,10.99,21.98,11.6,30.531,6.72,11.6,-7.93,14.65,14.65,3.67,14.65,22.59,0,8.55,-7.94,2.45,6.71,31.75,28.7,30.53,30.53,10.39,4.27,2.44,10.39,10.39,9.77,11.6,29.92,16.49,-3.66,12.83,3.66,12.21,17.71,7.94,21.98,18.32,21.37,9.16,10.99,21.98,11.6,30.531,6.72,42.13,14.05,24.43,25.03,14.05,14.05,18.93,6.72,6.72,4.88,18.93,23.81,20.761,20.76,23.81,23.81,15.88,20.15,28.09,15.88,15.88,-5.5,12.82,29.92,29.92,29.92,40.301,43.96,44.57,40.301,40.301,40.3,46.41,48.85,40.3,40.3,34.19,33.59,31.14,29.93,31.75,40.91,47.64,43.96,43.97,40.91,32.97,42.13,50.69,60.46,61.67,40.91,70.23,70.22,61.07,40.91,10.38,12.22,11.6,10.38,12.21,20.15,18.93,17.09,20.15,20.15,30.53,31.14,33.59,30.53,30.53,40.91,31.76,28.09,40.91,40.91,29.92,31.14,31.14,31.14,31.76,40.91,44.58,31.76,31.76,27.48,26.87,25.04,22.59,27.48,30.54,29.31,27.48,27.48,27.48,30.53,21.98,19.54,19.54,30.53,40.31,37.86,37.25,40.31,40.31,39.69,43.97,40.3,39.69,39.69,30.53,31.75,28.7,30.53,30.53,10.39,4.27,2.44,10.39,10.39,14.65,7.32,5.5,14.65,14.65,43.97,53.13,50.68,47.63,43.97,27.48,27.48,23.21,21.99,27.48,35.42,26.26,25.03,26.26,17.1,25.041,30.53,29.32,34.81,7.33,0.61,29.31,23.82,9.161,3.67,42.14,4.88,3.66,21.98,7.94,-10.99,-5.5,-6.72,0.61,17.101,3.06,9.16,14.65,4.88,18.93,23.81,20.761,20.76,23.81,23.81,15.88,-4.88,-2.44,-4.27,9.159
